"comunidad_id","comunidad_nombre","comunidad_pueblo","comunidad_pueblo_referencia","provincia_id","comunidad_provincia","departamento_id","comunidad_departamento","localidad_id","comunidad_localidad_censal","comunidad_localidad","comunidad_barrio_paraje","comunidad_zona","comunidad_latitud","comunidad_longitud","personeria_juridica_estado","personeria_tipo_inscripcion","personeria_numero_inscripcion","personeria_fecha_inscripcion","personeria_registro_inscripcion","relevamiento_estado","relevamiento_fecha","relevamiento_resolucion_inai","relevamiento_fecha_resolucion","comunidad_latitud_decimales","comunidad_longitud_decimales"
"6001","Comunidad Indígena del Pueblo Mbyá Guaraní Mbyá Apyteré","Mbya Guaraní","Mbya Guaraní","06","Buenos Aires","06252","Escobar","06252010",,"Maquinista F. Savio Este","","Periurbana","-34° 0' 0"" S","-59° 0' 0"" W","Inscripta","Nacional","Resolución INAI N° 16","2004-01-29","Registro Nacional de Comunidades Indígenas (Re.Na.C.I.)","Iniciado","2022-06-21","","","-34.402750","-58.780310"
"6002","Comunidad Indígena del Pueblo Tupí Guaraní Caaguy Poty","Tupí Guaraní","Guaraní","06","Buenos Aires","06412","José C. Paz","06412010",,"José C. Paz","Pje. El Colchón B° Los Prados","Urbana","-35° 0' 0"" S","-59° 0' 0"" W","Inscripta","Nacional","Resolución INAI N° 125","2003-12-15","Registro Nacional de Comunidades Indígenas (Re.Na.C.I.)","Culminado","2009-09-27","Resolución 243/12","2012-05-24","-34.517534","-58.792487"
"6003","Comunidad Kintu Kimvn","Mapuche","Mapuche","06","Buenos Aires","06385","General Viamonte","06385030",,"Los Toldos","","Urbana","-35° 0' 0"" S","-61° 0' 0"" W","Inscripta","Provincial (por convenio)","RESOL-2018-613-GDEBA-SDDHH","2018-12-27","Dirección Provincial de Personas Jurídicas de la Provincia de Buenos Aires - Registro Provincial de Comunidades Indígenas (Re.Pro.C.I.)","Sin relevar","","","","-34.997420","-61.021000"
"6004","Comunidad Che Añamangüerá (Mis Parientes)","Tupí Guaraní","Guaraní","06","Buenos Aires","06427","La Matanza","06427010",,"Rafael Castillo","","Urbana","-35° 0' 0"" S","-59° 0' 0"" W","","","","","","Culminado","2009-09-24","Resolución 158/12","2012-04-25","-34.715404","-58.627529"
"6005","Comunidad Indígena del Pueblo Tupí Guarani Cuarajhy Verá","Tupí Guaraní","Guaraní","06","Buenos Aires","06560","Moreno","06560010",,"Cuartel V","B° Irigoin","Urbana","-35° 0' 0"" S","-59° 0' 0"" W","Inscripta","Nacional","Resolución INAI N° 014","2003-07-31","Registro Nacional de Comunidades Indígenas (Re.Na.C.I.)","Culminado","2009-09-27","Resolución 434/12","2012-07-20","-34.549409","-58.810827"
"6006","Comunidad Indígena del Pueblo Ava Guaraní Cuymbae Toro","Ava Guaraní","Guaraní","06","Buenos Aires","06028","Almirante Brown","06028010",,"Glew","B° Almafuerte","Urbana","-35° 0' 0"" S","-58° 0' 0"" W","Inscripta","Nacional","Resolución INAI N° 241","2011-05-19","Registro Nacional de Comunidades Indígenas (Re.Na.C.I.)","Culminado","2012-05-18","Resolución 541/13","2013-08-05","-34.884686","-58.367469"
"6007","Comunidad Indígena de pueblo Tupí Guaraní Hipólito Yumbay","Tupí Guaraní","Guaraní","06","Buenos Aires","06028","Almirante Brown","06028010",,"Glew","B° Almafuerte","Ambas","-35° 0' 0"" S","-58° 0' 0"" W","Inscripta","Nacional","Resolución Ex SDS N° 1083","1999-03-22","Registro Nacional de Comunidades Indígenas (Re.Na.C.I.)","Culminado","2009-09-20","Resolución 352/12","2012-07-04","-34.885750","-58.366999"
"6008","Comunidad Taupa","Tupí Guaraní","Guaraní","06","Buenos Aires","06427","La Matanza","06427010",,"Virrey del Pino","B° Oro Verde","Urbana","-35° 0' 0"" S","-59° 0' 0"" W","Inscripta","Nacional","Resolución INAI N° 789","2011-10-27","Registro Nacional de Comunidades Indígenas (Re.Na.C.I.)","Culminado","2009-09-27","Resolución 159/12","2012-04-25","-34.820188","-58.646694"
"6009","Comunidad Mandu´a Recordar","Tupí Guaraní","Guaraní","06","Buenos Aires","06427","La Matanza","06427010",,"Rafael Castillo","","Urbana","-35° 0' 0"" S","-59° 0' 0"" W","","","","","","Culminado","2009-09-24","Resolución 142/12","2012-04-20","-34.706085","-58.634642"
"6011","Comunidad Indígena Tupí Guaraní Pe Ñangatuña Opabe Y Ba Año Malvinape","Tupí Guaraní","Guaraní","06","Buenos Aires","06260","Esteban Echeverría","06260010",,"Monte Grande","B° Nuestra Malvina","Urbana","-35° 0' 0"" S","-58° 0' 0"" W","Inscripta","Nacional","Resolución INAI N° 720","2007-12-07","Registro Nacional de Comunidades Indígenas (Re.Na.C.I.)","Culminado","2009-09-27","Resolución 144/12","2012-04-20","-34.799596","-58.481000"
